Exchange,Ipaddr4,Ipaddr6,Speed,Url,Date
AKL-IX,             43.243.21.76        ,             2001:7fa:11:6:0:b5a:0:1         ,             10G        ,https://www.peeringdb.com/ix/977,2018-07-16
AKL-IX,             43.243.21.77        ,             2001:7fa:11:6:0:b5a:0:2         ,             10G        ,https://www.peeringdb.com/ix/977,2018-07-16
AMS-IX,             80.249.210.250        ,             2001:7f8:1::a500:2906:1         ,             100G        ,https://www.peeringdb.com/ix/26,2018-07-16
AMS-IX,             80.249.211.250        ,             2001:7f8:1::a500:2906:2         ,             100G        ,https://www.peeringdb.com/ix/26,2018-07-16
BBIX Hong Kong,             103.203.158.74        ,             2403:c780:b800:bb00::2906:1         ,             10G        ,https://www.peeringdb.com/ix/1449,2018-07-16
BBIX Hong Kong,             103.203.158.75        ,             2403:c780:b800:bb00::2906:2         ,             10G        ,https://www.peeringdb.com/ix/1449,2018-07-16
BBIX Singapore,             103.231.152.76        ,             2001:df5:b800:bb00::2906:3         ,             10G        ,https://www.peeringdb.com/ix/909,2018-07-16
BBIX Singapore,             103.231.152.77        ,             2001:df5:b800:bb00::2906:4         ,             10G        ,https://www.peeringdb.com/ix/909,2018-07-16
BBIX Tokyo,             218.100.6.117        ,             2001:de8:c::2906:1         ,             100G        ,https://www.peeringdb.com/ix/126,2018-07-16
BBIX Tokyo,             218.100.6.119        ,             2001:de8:c::2906:2         ,             100G        ,https://www.peeringdb.com/ix/126,2018-07-16
BCIX,             193.178.185.80        ,             2001:7f8:19:1::b5a:1         ,             100G        ,https://www.peeringdb.com/ix/87,2018-07-16
Bharat IX - Mumbai,             103.105.218.7        ,             2001:de8:4000::7         ,             10G        ,https://www.peeringdb.com/ix/2062,2018-07-16
BNIX,             194.53.172.31        ,             2001:7f8:26::a500:2906:1         ,             10G        ,https://www.peeringdb.com/ix/59,2018-07-16
BNIX,             194.53.172.32        ,             2001:7f8:26::a500:2906:2         ,             10G        ,https://www.peeringdb.com/ix/59,2018-07-16
Boston Internet Exchange,             206.108.236.32        ,             2001:504:24:1::b5a:1         ,             10G        ,https://www.peeringdb.com/ix/565,2018-07-16
ChIX,             206.41.110.25        ,             2001:504:41:110::25         ,             10G        ,https://www.peeringdb.com/ix/239,2018-07-16
CoreSite - Any2 California,             206.72.210.215        ,             2001:504:13::210:215         ,             30G        ,https://www.peeringdb.com/ix/142,2018-07-16
CoreSite - Any2 California,             206.72.210.226        ,             2001:504:13::210:226         ,             30G        ,https://www.peeringdb.com/ix/142,2018-07-16
CyrusOne IX Houston,             198.32.96.39        ,             2001:478:96::39         ,             10G        ,https://www.peeringdb.com/ix/673,2018-07-16
CyrusOne IX Houston,             198.32.96.40        ,             2001:478:96::40         ,             10G        ,https://www.peeringdb.com/ix/673,2018-07-16
DE-CIX Frankfurt,             80.81.194.182        ,             2001:7f8::b5a:0:1         ,             100G        ,https://www.peeringdb.com/ix/31,2018-07-16
DE-CIX Frankfurt,             80.81.194.202        ,             2001:7f8::b5a:0:2         ,             100G        ,https://www.peeringdb.com/ix/31,2018-07-16
DE-CIX Madrid,             185.1.68.26        ,             2001:7f8:a0::b5a:0:1         ,             10G        ,https://www.peeringdb.com/ix/1277,2018-07-16
DE-CIX New York,             206.130.10.81        ,             2001:504:36::b5a:0:1         ,             10G        ,https://www.peeringdb.com/ix/804,2018-07-16
DE-CIX New York,             206.130.10.122        ,             2001:504:36::b5a:0:2         ,             10G        ,https://www.peeringdb.com/ix/804,2018-07-16
Digital Realty Atlanta,             198.32.132.113        ,             2001:478:132::113         ,             40G        ,https://www.peeringdb.com/ix/22,2018-07-16
Digital Realty Atlanta,             198.32.132.127        ,             2001:478:132::127         ,             40G        ,https://www.peeringdb.com/ix/22,2018-07-16
Digital Realty New York,             206.126.115.225        ,             2001:504:17:115::225         ,             20G        ,https://www.peeringdb.com/ix/325,2018-07-16
ECIX-BER,             194.9.117.86        ,             2001:7f8:8:5:0:b5a:0:1         ,             20G        ,https://www.peeringdb.com/ix/209,2018-07-16
ECIX-BER,             194.9.117.87        ,             2001:7f8:8:5:0:b5a:0:2         ,             20G        ,https://www.peeringdb.com/ix/209,2018-07-16
